Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
White Forest,276.6 g,195.2 g,107.8,2.0,171.6,215.8 °C,53.6,14.0,11.6,9.8,Convection,Whipped Cream,Local,377.1,54.7 %,6.1,12,4.2,2024-11-12,Average
Red Velvet,281.3 g,208.3 g,157.6,4.0,187.8,186.3 °C,48.0,5.6,12.2,12.4,Gas,Whipped Cream,Imported,265.7,46.5 %,7.4,2,4.7,2025-07-22,Good
Chocolate,271.3 g,195.7 g,170.1,3.0,180.1,212.3 °C,29.1,9.6,17.3,14.0,Gas,Buttercream,Local,446.5,48.8 %,7.7,6,5.0,2023-11-15,Good
Vanilla,278.5 g,185.0 g,132.8,3.0,191.6,192.6 °C,29.1,9.5,18.0,9.6,Electric,Fondant,Local,244.1,50.0 %,6.0,4,4.7,2023-03-10,Average
,419.6 g,176.9 g,145.1,,203.8,214.5 °C,39.4,11.6,17.8,5.7,Electric,Fondant,Imported,343.8,57.8 %,8.4,9,3.7,2025-05-10,Good
Strawberry,289.1 g,210.7 g,124.9,1.0,174.1,212.4 °C,31.7,10.5,23.1,12.6,Electric,Buttercream,Imported,308.9,53.4 %,8.3,7,4.7,2024-07-01,Good
,302.2 g,210.6 g,145.5,3.0,150.0,209.0 °C,35.7,8.4,18.2,13.3,Electric,Ganache,Imported,525.5,52.7 %,6.8,4,3.7,2025-10-07,Average
Vanilla,293.9 g,210.5 g,,3.0,137.8,205.4 °C,34.6,15.1,17.6,6.6,Electric,Whipped Cream,Imported,364.8,50.5 %,9.0,3,4.2,2024-09-02,Excellent
,269.3 g,204.8 g,111.0,3.0,156.6,191.2 °C,31.0,15.1,10.6,14.5,Gas,Buttercream,Mixed,346.8,55.5 %,5.8,5,4.5,2023-08-06,Average
Chocolate Truffle,331.8 g,218.0 g,129.8,4.0,185.7,210.9 °C,23.0,11.1,13.5,14.6,Electric,Whipped Cream,Local,381.5,60.2 %,5.1,11,3.4,2024-12-29,Average
Black Forest,268.4 g,232.0 g,155.7,4.0,142.3,177.4 °C,28.4,9.6,16.7,9.3,Convection,Whipped Cream,Imported,367.1,51.8 %,8.7,15,3.9,2025-03-12,Good
White Forest,320.3 g,167.8 g,168.8,2.0,218.6,254.9 °C,31.9,14.5,18.0,10.5,Gas,Ganache,Mixed,422.9,58.1 %,10.0,2,3.8,2024-03-22,Excellent
Red Velvet,267.1 g,163.3 g,118.4,4.0,149.6,209.4 °C,29.9,13.2,19.9,10.0,Electric,Buttercream,Local,222.1,58.8 %,7.0,3,5.0,2023-05-02,Good
Black Forest,249.5 g,242.9 g,127.7,3.0,174.8,207.5 °C,25.0,6.2,13.0,17.5,Electric,Whipped Cream,Local,306.8,50.9 %,5.0,12,3.9,2024-05-19,Average
Chocolate,291.1 g,173.9 g,128.6,4.0,237.4,206.2 °C,48.3,16.7,19.1,5.6,Electric,Whipped Cream,Local,270.4,54.3 %,4.3,9,3.6,2024-05-11,Poor
Black Forest,245.9 g,177.3 g,127.5,4.0,172.6,187.5 °C,39.0,7.1,14.1,7.4,Electric,Ganache,Local,539.1,57.5 %,8.5,3,2.6,2023-06-05,Good
,297.7 g,190.0 g,136.1,2.0,148.6,189.5 °C,33.2,8.6,17.8,11.7,Electric,Whipped Cream,Local,489.3,49.7 %,8.5,10,3.6,2024-12-09,Good
Red Velvet,243.7 g,170.2 g,117.9,2.0,122.2,202.2 °C,40.1,5.5,7.6,14.0,Convection,Buttercream,Mixed,492.7,55.3 %,10.0,8,3.7,,Excellent
Black Forest,267.6 g,188.3 g,133.7,3.0,192.0,191.0 °C,32.9,8.4,21.6,6.0,Electric,Buttercream,Imported,686.0,56.0 %,7.0,4,3.7,2023-07-29,Good
Chocolate Truffle,238.2 g,179.2 g,123.7,2.0,188.6,182.0 °C,53.9,13.5,18.4,9.8,Electric,Fondant,Imported,480.1,47.7 %,9.9,10,4.4,2023-02-19,Excellent
Chocolate,429.5 g,191.0 g,137.0,2.0,198.3,197.0 °C,58.2,10.1,13.1,16.4,Electric,Fondant,Local,209.6,49.6 %,8.3,2,4.5,2023-04-13,Good
Pineapple,233.5 g,201.4 g,126.8,1.0,181.9,204.1 °C,48.6,10.6,17.6,7.0,Electric,Fondant,Imported,304.6,49.5 %,8.0,8,3.8,2024-03-06,Good
Vanilla,278.3 g,189.0 g,135.2,3.8,162.5,198.1 °C,43.0,7.6,18.0,9.5,Electric,Buttercream,Imported,484.9,48.5 %,8.6,2,5.0,2025-05-11,Good
Red Velvet,324.4 g,188.1 g,122.4,2.0,156.0,217.4 °C,32.0,12.1,21.5,12.6,Electric,Ganache,Local,336.0,61.7 %,6.9,6,4.8,2023-01-05,Average
Chocolate,319.4 g,200.9 g,159.8,4.0,179.6,200.9 °C,20.0,4.2,13.7,8.5,Electric,Whipped Cream,Imported,244.9,54.1 %,6.1,2,4.7,,Average
,311.0 g,220.8 g,132.5,3.8,215.0,229.1 °C,45.7,9.0,11.4,14.4,Gas,Buttercream,Local,326.1,56.2 %,5.7,8,4.9,2025-09-25,Average
Red Velvet,267.6 g,238.7 g,138.5,2.5,115.9,247.7 °C,31.0,9.6,17.1,13.0,Gas,Ganache,Local,262.0,86.5 %,7.6,2,4.0,2025-05-21,Good
Chocolate,334.7 g,191.2 g,135.6,3.0,212.8,196.2 °C,35.2,9.0,,11.2,Electric,Ganache,Local,313.5,47.0 %,6.5,8,4.7,2024-12-24,Average
Red Velvet,313.8 g,246.9 g,138.4,3.0,169.4,182.9 °C,38.4,10.8,21.5,6.2,Electric,Whipped Cream,Local,316.0,56.6 %,8.9,3,3.7,2024-12-27,Good
Chocolate Truffle,285.4 g,216.1 g,138.3,2.0,173.1,182.5 °C,39.7,5.4,13.8,8.6,Electric,Fondant,Mixed,294.0,45.4 %,7.9,6,4.1,2024-01-09,Good
Chocolate,286.4 g,175.3 g,155.9,4.0,202.9,197.5 °C,37.8,12.7,16.2,3.7,Convection,Whipped Cream,Imported,259.4,48.8 %,6.7,5,2.9,2025-07-15,Average
,268.0 g,174.9 g,133.2,2.0,173.0,212.4 °C,28.8,6.8,12.8,6.9,Electric,Buttercream,Imported,294.1,57.2 %,8.1,13,3.2,2024-09-24,Good
,250.8 g,184.9 g,126.6,2.0,185.7,193.0 °C,33.7,15.7,15.8,7.5,Gas,Fondant,Local,241.5,49.2 %,7.1,4,3.7,2025-10-19,Good
Black Forest,329.0 g,233.3 g,139.0,2.0,137.2,198.7 °C,32.5,11.1,15.3,0.8,Electric,Buttercream,Mixed,323.4,60.3 %,6.3,2,5.0,2023-03-07,Average
Vanilla,332.8 g,186.2 g,128.1,2.0,169.8,190.6 °C,43.6,11.9,10.2,15.2,Electric,Whipped Cream,Imported,307.1,48.6 %,8.2,2,4.0,2025-03-02,Good
Chocolate,251.4 g,167.6 g,136.8,4.0,195.7,193.4 °C,32.4,8.0,15.7,7.4,Convection,Ganache,Local,359.8,58.8 %,8.1,2,3.7,2023-02-19,Good
Chocolate,272.8 g,191.0 g,122.2,2.0,166.5,200.0 °C,32.8,8.6,9.1,6.3,Gas,Whipped Cream,Imported,347.3,64.0 %,8.0,5,2.9,2023-06-02,Good
Chocolate,273.1 g,166.7 g,162.5,2.0,168.2,215.8 °C,35.8,14.0,18.8,7.7,Electric,Buttercream,Local,285.2,52.8 %,8.7,4,4.2,2024-11-06,Good
Chocolate,276.8 g,177.7 g,125.7,,183.6,214.9 °C,32.6,5.7,20.4,12.5,Gas,Whipped Cream,Mixed,203.5,56.4 %,7.7,8,4.5,2023-02-08,Good
Black Forest,280.1 g,184.8 g,166.9,4.0,192.9,171.1 °C,34.9,10.0,,3.1,Electric,Buttercream,Local,288.8,58.7 %,6.5,3,4.2,2023-06-21,Average
Chocolate Truffle,315.3 g,,137.1,4.0,239.7,210.0 °C,26.5,10.0,18.5,11.6,Electric,Fondant,Imported,369.4,64.8 %,5.2,7,3.9,2024-07-05,Average
Pineapple,255.1 g,220.3 g,157.2,3.0,193.2,209.4 °C,26.0,11.4,14.6,10.3,Gas,Whipped Cream,Imported,225.0,50.7 %,9.4,10,3.5,2023-12-28,Excellent
Black Forest,252.4 g,211.3 g,125.9,3.0,231.3,196.9 °C,30.4,10.7,17.4,13.3,Gas,Fondant,Imported,393.1,55.2 %,6.0,3,4.7,2025-05-15,Average
,329.0 g,176.0 g,112.9,2.0,175.2,193.2 °C,37.6,11.4,16.0,17.5,Electric,Fondant,Mixed,290.8,84.2 %,7.0,4,2.9,2024-04-24,Good
Vanilla,263.2 g,188.4 g,115.7,2.0,124.3,208.6 °C,27.9,8.3,13.2,16.2,Electric,Buttercream,Local,244.9,54.6 %,7.2,1,3.0,2023-01-14,Good
Vanilla,242.1 g,197.0 g,218.4,5.0,165.5,200.4 °C,37.1,17.6,10.0,3.4,Electric,Whipped Cream,Local,402.2,58.0 %,7.2,7,4.0,2023-09-04,Good
Chocolate,262.5 g,190.4 g,128.3,2.0,155.4,194.8 °C,,10.0,20.6,6.0,Electric,Whipped Cream,Local,298.2,58.2 %,7.4,3,4.4,2025-08-04,Good
Red Velvet,267.2 g,190.3 g,163.9,4.0,176.3,244.0 °C,23.1,13.1,20.6,15.2,Electric,Ganache,Imported,415.9,52.3 %,6.7,4,3.9,2024-04-04,Average
Strawberry,345.5 g,169.4 g,119.4,1.0,168.5,206.9 °C,27.4,13.1,14.8,11.0,Electric,Whipped Cream,Local,366.3,45.4 %,6.4,3,4.1,,Average
,314.3 g,176.4 g,141.7,2.0,187.0,190.4 °C,24.1,3.0,12.8,14.5,Convection,Whipped Cream,Local,324.8,57.5 %,7.1,5,3.6,2025-07-29,Good
,324.6 g,187.9 g,145.2,4.0,159.0,211.3 °C,23.8,5.3,16.3,9.5,Gas,Ganache,Local,214.3,47.1 %,7.2,4,3.9,2024-01-10,Good
Pineapple,309.6 g,157.4 g,236.5,3.0,185.4,205.6 °C,20.0,7.5,13.9,0.7,Electric,Fondant,Local,473.3,58.3 %,6.0,7,4.2,2025-10-25,Average
White Forest,315.2 g,209.9 g,132.7,4.0,190.7,204.6 °C,36.5,8.5,10.0,8.1,Gas,Buttercream,Local,403.2,51.6 %,7.0,9,3.4,2024-02-28,Good
Vanilla,256.7 g,173.5 g,126.7,2.0,179.4,213.7 °C,27.8,10.8,17.7,14.4,Electric,Buttercream,Local,291.5,52.8 %,7.5,10,4.0,2024-11-12,Good
Chocolate Truffle,271.4 g,,145.2,3.0,140.6,191.2 °C,36.6,10.9,15.1,15.9,Gas,Whipped Cream,Local,452.9,52.5 %,8.3,9,3.9,2024-04-07,Good
Butterscotch,248.7 g,208.9 g,123.8,4.0,210.9,202.6 °C,42.6,7.6,13.8,11.7,Electric,Buttercream,Local,255.8,50.5 %,8.8,5,2.9,2025-01-12,Good
Vanilla,271.0 g,185.5 g,146.5,4.0,200.0,186.2 °C,27.3,3.9,12.5,5.6,Electric,Buttercream,Imported,329.4,54.5 %,8.3,8,4.8,2023-06-29,Good
Vanilla,303.8 g,219.6 g,,3.0,172.4,212.4 °C,41.2,14.9,15.4,12.3,Gas,Fondant,Mixed,403.1,47.3 %,8.9,5,3.1,2023-01-27,Good
Red Velvet,282.6 g,212.6 g,126.1,,133.8,198.6 °C,44.1,12.6,15.0,14.4,Gas,Buttercream,Imported,327.3,56.1 %,8.6,6,3.8,2024-09-20,Good
Butterscotch,332.7 g,189.6 g,148.4,3.0,188.4,186.6 °C,29.6,12.0,17.1,13.7,Convection,Ganache,Imported,386.4,45.8 %,9.0,3,5.0,2023-12-25,Excellent
Chocolate Truffle,245.0 g,187.6 g,,4.0,162.7,197.5 °C,20.0,11.5,16.4,11.2,Electric,Buttercream,Local,219.5,54.7 %,7.6,4,5.0,2024-03-26,Good
Chocolate,296.3 g,222.4 g,154.8,2.0,162.2,202.1 °C,25.3,11.9,18.1,5.1,Convection,Whipped Cream,Mixed,577.7,46.9 %,8.8,14,4.0,,Good
Vanilla,242.4 g,200.3 g,181.8,2.0,175.8,214.3 °C,54.6,5.5,7.0,15.1,Gas,Ganache,Mixed,280.9,46.7 %,8.4,15,3.6,2023-07-28,Good
Strawberry,281.2 g,220.9 g,129.8,4.0,236.4,220.9 °C,33.0,5.3,15.7,4.5,Electric,Fondant,Mixed,195.5,47.2 %,8.7,13,4.2,,Good
,306.2 g,162.9 g,131.2,3.0,183.1,214.9 °C,43.1,11.9,18.4,8.5,Gas,Ganache,Local,530.6,49.0 %,7.8,10,3.6,2024-08-14,Good
Chocolate,270.8 g,197.5 g,118.8,3.0,174.8,207.4 °C,35.1,3.5,17.0,14.3,Convection,Whipped Cream,Imported,405.3,53.6 %,7.4,9,5.0,2025-01-16,Good
Pineapple,298.4 g,171.1 g,149.0,2.0,162.9,211.2 °C,21.0,11.3,20.2,16.6,Electric,Ganache,Local,194.3,56.5 %,7.6,5,4.2,2025-10-31,Good
Black Forest,249.5 g,194.9 g,127.6,2.0,179.3,194.2 °C,39.0,12.3,,7.0,Convection,Fondant,Mixed,325.1,47.3 %,7.6,6,3.3,2025-02-08,Good
Pineapple,233.3 g,211.8 g,145.1,,178.3,183.1 °C,30.0,15.3,16.7,7.3,Gas,Fondant,Mixed,561.8,48.8 %,6.1,6,4.3,2023-01-06,Average
Pineapple,298.6 g,243.7 g,165.9,1.0,199.3,188.6 °C,50.7,9.1,11.3,8.1,Electric,Ganache,Imported,418.7,45.7 %,6.4,5,2.8,2023-05-21,Average
White Forest,356.1 g,,127.1,2.0,162.7,199.0 °C,29.1,6.7,23.0,10.0,Gas,Buttercream,Local,348.9,60.2 %,7.7,7,4.1,2024-02-04,Good
Red Velvet,248.6 g,185.8 g,130.2,3.8,155.3,195.1 °C,48.6,13.2,13.1,6.4,Electric,Whipped Cream,Imported,380.3,50.2 %,7.0,8,4.7,2025-05-20,Good
Strawberry,328.3 g,193.6 g,161.5,2.0,165.1,194.5 °C,48.5,9.3,13.8,7.1,Electric,Ganache,Local,413.0,51.7 %,7.6,2,3.5,2023-11-10,Good
Chocolate,279.4 g,178.8 g,153.5,2.0,175.6,202.7 °C,23.4,4.9,17.6,4.7,Electric,Fondant,Local,241.5,52.2 %,6.9,10,3.4,2024-09-03,Average
,240.4 g,219.0 g,150.9,3.0,177.6,216.1 °C,40.5,3.0,12.0,3.5,Convection,Whipped Cream,Local,293.1,54.1 %,7.9,2,3.3,2023-10-16,Good
Chocolate,245.2 g,194.1 g,131.5,3.0,178.0,202.9 °C,32.1,11.7,,8.7,Gas,Buttercream,Local,219.1,47.7 %,6.3,2,3.5,2025-07-11,Average
Black Forest,278.5 g,198.0 g,117.9,4.0,151.0,191.0 °C,44.3,12.4,21.4,8.4,Electric,Whipped Cream,Mixed,347.5,45.7 %,7.8,10,2.6,2025-09-08,Good
Chocolate,264.9 g,209.4 g,126.7,3.0,175.6,181.7 °C,38.2,10.0,19.9,9.1,Convection,Fondant,Local,280.0,46.1 %,7.8,8,4.9,2024-11-11,Good
Chocolate,240.9 g,194.0 g,122.7,2.0,202.4,195.9 °C,36.5,9.9,,6.9,Electric,Fondant,Local,398.9,59.5 %,7.2,5,3.5,2024-01-17,Good
,232.6 g,181.2 g,150.4,3.0,227.6,172.9 °C,31.6,10.1,13.5,2.9,Electric,Buttercream,Imported,453.2,51.1 %,8.3,12,3.0,2024-03-25,Good
Chocolate,252.4 g,194.2 g,143.8,2.0,214.7,218.1 °C,39.7,9.5,18.5,6.4,Gas,Whipped Cream,Local,337.0,52.7 %,7.0,11,5.0,2023-04-05,Good
Black Forest,284.7 g,180.6 g,128.3,2.0,176.4,199.8 °C,23.7,5.2,8.8,6.4,Electric,Fondant,Local,368.2,54.1 %,7.1,13,4.0,2024-07-24,Good
White Forest,277.7 g,197.7 g,130.9,3.8,173.4,233.6 °C,42.6,8.9,,2.6,Electric,Ganache,Imported,332.4,51.1 %,7.4,3,4.4,2024-08-22,Good
Red Velvet,262.1 g,219.5 g,148.0,4.0,226.2,223.5 °C,41.7,9.6,10.2,12.3,Gas,Buttercream,Local,320.3,48.3 %,7.6,11,4.0,2023-09-06,Good
Chocolate,285.0 g,176.1 g,132.6,4.0,174.8,207.6 °C,39.1,13.0,13.6,6.0,Electric,Ganache,Local,199.5,49.6 %,6.3,3,4.5,2023-11-24,Average
Chocolate,319.6 g,171.6 g,128.6,1.0,209.8,190.8 °C,27.5,7.7,16.6,9.1,Electric,Whipped Cream,Local,320.2,48.8 %,8.1,5,4.6,2025-07-28,Good
Chocolate,292.2 g,196.5 g,194.4,2.0,177.4,192.7 °C,27.3,8.7,12.6,6.1,Electric,Buttercream,Imported,266.6,47.7 %,8.5,2,3.9,2024-04-07,Good
Chocolate,273.9 g,181.9 g,129.0,3.0,123.8,228.5 °C,29.7,11.4,13.3,7.0,Electric,Ganache,Imported,243.2,64.3 %,5.8,8,4.4,2024-11-08,Average
Chocolate Truffle,314.4 g,196.1 g,152.5,,201.7,206.4 °C,27.8,8.0,13.2,7.9,Gas,Fondant,Local,247.6,49.0 %,9.0,7,4.5,2025-03-28,Excellent
Chocolate,249.5 g,202.3 g,146.1,4.0,214.0,180.5 °C,37.4,7.9,17.6,7.0,Convection,Whipped Cream,Mixed,290.9,55.1 %,6.4,8,5.0,2025-05-31,Average
Vanilla,270.5 g,165.1 g,117.0,2.0,168.3,193.2 °C,30.9,5.5,14.4,8.7,Gas,Whipped Cream,Imported,313.4,51.8 %,6.7,4,2.4,2025-04-14,Average
Chocolate,271.3 g,211.2 g,127.1,3.0,147.2,225.1 °C,31.9,14.0,13.5,11.0,Electric,Whipped Cream,Imported,398.9,44.4 %,4.7,14,4.7,,Poor
Chocolate,242.7 g,176.1 g,156.3,3.0,239.7,218.4 °C,31.3,11.4,9.0,14.4,Gas,Fondant,Imported,296.2,53.7 %,7.2,12,3.5,2025-10-20,Good
Red Velvet,264.5 g,195.0 g,135.8,4.0,173.7,205.1 °C,25.7,12.5,13.0,4.9,Gas,Buttercream,Imported,291.9,55.3 %,9.8,8,3.1,2024-04-05,Excellent
Strawberry,225.3 g,183.6 g,117.6,2.0,167.9,224.0 °C,30.7,8.4,,0.1,Electric,Ganache,Mixed,631.4,44.6 %,8.2,3,3.1,2024-07-24,Good
Chocolate,366.0 g,185.4 g,146.2,2.0,193.6,181.4 °C,43.8,15.5,7.7,14.5,Electric,Ganache,Local,256.9,47.8 %,4.9,10,4.8,2023-04-22,Poor
Chocolate,250.1 g,242.0 g,128.5,4.0,313.3,189.5 °C,41.7,10.9,13.7,10.2,Convection,Buttercream,Mixed,268.7,54.3 %,8.3,12,5.0,2024-10-30,Good
Vanilla,347.2 g,202.3 g,147.1,2.0,194.9,196.6 °C,38.9,11.9,14.3,11.3,Convection,Ganache,Mixed,435.1,55.2 %,9.1,9,3.8,2024-09-29,Excellent
Chocolate,279.2 g,216.9 g,228.1,4.0,184.1,190.8 °C,47.0,11.0,11.6,6.7,Electric,Buttercream,Mixed,473.2,71.0 %,7.0,9,4.7,2025-09-03,Good
Chocolate,298.9 g,198.6 g,145.9,2.0,180.5,211.3 °C,30.7,10.5,15.6,19.6,Gas,Fondant,Imported,482.5,49.3 %,9.4,1,5.0,2023-01-06,Excellent
Butterscotch,262.4 g,209.4 g,151.1,4.0,246.5,212.3 °C,32.2,10.4,19.6,10.9,Electric,Fondant,Local,253.4,56.4 %,6.8,8,3.6,2023-03-19,Average
Strawberry,285.2 g,204.5 g,133.7,4.0,196.5,206.9 °C,43.0,7.7,23.6,8.0,Gas,Ganache,Local,282.7,51.5 %,5.4,5,3.4,2024-05-24,Average
Strawberry,302.4 g,200.8 g,121.4,4.0,209.7,184.0 °C,34.8,11.1,14.1,3.7,Convection,Whipped Cream,Local,429.3,48.4 %,8.1,4,4.4,2023-02-09,Good
Vanilla,303.0 g,222.7 g,161.8,3.0,188.4,233.5 °C,27.7,11.0,11.9,16.4,Electric,Fondant,Imported,252.5,46.2 %,7.4,9,4.2,2024-01-09,Good
Red Velvet,307.7 g,198.7 g,128.2,1.0,196.8,203.9 °C,25.5,8.9,11.6,3.3,Electric,Ganache,Imported,326.7,55.7 %,6.1,3,3.3,2025-07-07,Average
Strawberry,266.0 g,265.9 g,134.1,2.0,169.8,177.5 °C,27.6,9.0,16.8,20.4,Gas,Buttercream,Imported,178.0,53.0 %,6.0,7,4.8,2024-01-12,Average
Black Forest,262.7 g,218.5 g,187.1,3.0,183.8,181.8 °C,45.2,10.3,7.6,14.4,Electric,Whipped Cream,Local,307.1,50.1 %,6.7,10,3.0,2024-12-26,Average
Black Forest,234.7 g,176.5 g,132.3,1.0,158.6,187.3 °C,36.7,7.1,20.3,7.1,Electric,Buttercream,Local,290.0,47.9 %,9.2,10,3.8,2024-07-19,Excellent
Chocolate,297.2 g,192.0 g,167.4,1.0,163.3,230.7 °C,37.5,10.5,11.2,12.1,Electric,Fondant,Imported,189.3,49.0 %,9.3,2,3.2,2023-10-17,Excellent
Red Velvet,321.5 g,204.0 g,146.0,,195.1,185.9 °C,35.4,13.0,18.3,5.1,Gas,Ganache,Local,289.2,47.8 %,10.0,11,3.4,2025-05-02,Excellent
Vanilla,348.8 g,196.4 g,,2.0,158.1,183.5 °C,29.4,6.2,9.6,15.2,Gas,Fondant,Local,314.7,53.8 %,10.0,9,2.7,2024-07-29,Excellent
Chocolate Truffle,288.8 g,211.1 g,145.0,4.0,182.5,218.2 °C,20.0,13.4,19.3,5.7,Electric,Ganache,Local,947.1,53.4 %,8.9,13,4.1,2024-12-12,Good
Black Forest,254.6 g,214.0 g,126.6,1.0,167.2,214.2 °C,21.8,7.8,16.9,3.5,Electric,Buttercream,Local,238.1,49.9 %,7.3,2,3.6,2025-08-03,Good
Strawberry,232.6 g,173.7 g,158.5,3.8,147.9,190.0 °C,44.9,9.8,14.6,3.8,Electric,Buttercream,Imported,292.2,50.5 %,5.9,5,4.0,2023-10-24,Average
Chocolate,319.6 g,228.0 g,168.3,2.0,185.8,206.9 °C,41.1,12.7,15.2,12.0,Electric,Ganache,Imported,368.6,50.7 %,8.8,5,4.0,2024-10-28,Good
Strawberry,230.6 g,186.3 g,139.1,2.0,206.1,194.4 °C,47.9,9.2,13.9,10.5,Electric,Ganache,Mixed,211.5,68.6 %,8.5,8,3.8,,Good
Chocolate,266.9 g,184.6 g,171.3,2.0,143.7,208.9 °C,37.1,11.6,16.2,10.6,Electric,Ganache,Local,403.8,53.0 %,5.7,2,4.0,2025-09-03,Average
Vanilla,270.5 g,184.6 g,141.3,,199.6,193.6 °C,40.6,7.3,8.0,6.8,Electric,Buttercream,Local,215.5,56.1 %,7.6,3,2.4,2025-06-06,Good
Chocolate,275.6 g,214.3 g,158.8,1.0,148.1,207.2 °C,24.7,11.5,16.2,8.6,Gas,Fondant,Local,361.9,44.8 %,5.6,11,4.0,2025-01-27,Average
Black Forest,279.2 g,190.3 g,243.3,1.0,231.5,198.6 °C,22.3,12.2,15.7,11.0,Electric,Ganache,Local,229.4,45.3 %,9.8,2,5.0,2023-09-08,Excellent
Chocolate,282.7 g,183.5 g,217.0,1.0,198.0,189.6 °C,43.6,8.3,10.5,16.6,Electric,Buttercream,Local,217.1,43.6 %,5.8,5,4.4,2025-09-02,Average
Vanilla,219.3 g,187.5 g,134.9,3.0,143.7,214.9 °C,37.3,10.4,14.5,8.3,Electric,Fondant,Local,256.4,50.2 %,7.7,8,2.5,2025-07-14,Good
Chocolate Truffle,278.4 g,168.6 g,144.0,2.0,209.2,199.4 °C,35.0,10.8,,12.0,Electric,Buttercream,Local,487.1,53.3 %,8.9,5,5.0,2024-12-26,Good
Chocolate,222.5 g,180.8 g,122.2,3.0,160.5,215.9 °C,31.0,9.3,12.8,17.7,Gas,Ganache,Imported,243.8,57.1 %,6.0,2,1.9,2024-06-04,Average
Red Velvet,305.9 g,175.2 g,155.8,5.0,151.6,206.9 °C,49.5,8.2,18.6,13.1,Electric,Buttercream,Imported,334.6,52.1 %,9.1,1,5.0,2025-06-12,Excellent
Vanilla,260.5 g,190.3 g,146.1,2.0,203.9,197.6 °C,28.3,9.1,,7.5,Gas,Buttercream,Local,317.8,47.8 %,7.2,7,3.5,2023-09-27,Good
Chocolate,223.8 g,210.5 g,125.8,1.0,224.6,220.0 °C,47.0,9.7,16.8,9.8,Electric,Whipped Cream,Local,373.9,51.2 %,6.3,11,2.7,2025-08-19,Average
Pineapple,253.3 g,,166.5,3.0,194.6,202.5 °C,35.2,10.1,11.9,11.9,Gas,Buttercream,Imported,215.6,51.7 %,6.0,5,3.5,2023-05-11,Average
Chocolate,260.1 g,227.2 g,133.5,2.0,167.1,206.2 °C,20.0,10.9,,1.7,Electric,Fondant,Mixed,240.0,46.7 %,8.6,5,4.4,2023-04-05,Good
Red Velvet,326.7 g,220.5 g,129.5,2.0,183.8,193.8 °C,40.0,10.4,14.1,6.7,Gas,Fondant,Local,445.1,52.2 %,7.8,5,3.9,2023-12-18,Good
Strawberry,284.8 g,185.8 g,146.3,3.0,161.3,191.4 °C,34.4,8.9,13.1,11.1,Electric,Buttercream,Local,227.1,61.1 %,7.4,12,3.8,2024-07-14,Good
Strawberry,290.3 g,195.9 g,130.3,3.0,172.9,201.3 °C,31.5,8.8,18.4,19.3,Gas,Fondant,Imported,206.3,50.8 %,7.3,4,4.3,2025-01-03,Good
Black Forest,326.3 g,194.8 g,137.6,2.0,192.1,185.6 °C,35.9,11.8,15.4,17.1,Electric,Buttercream,Imported,368.1,56.4 %,6.1,5,3.8,2023-01-17,Average
Vanilla,274.7 g,165.0 g,185.3,4.0,141.4,200.8 °C,20.0,10.7,,4.0,Electric,Buttercream,Local,318.8,53.9 %,7.7,4,3.3,2025-05-23,Good
,306.8 g,175.5 g,128.1,2.0,193.5,201.6 °C,36.5,10.6,19.4,4.7,Convection,Ganache,Local,255.2,46.3 %,5.3,2,3.0,2023-11-02,Average
White Forest,303.8 g,192.2 g,152.7,5.0,141.6,183.9 °C,35.8,9.2,15.7,18.8,Gas,Fondant,Local,300.6,59.7 %,8.3,4,3.1,2024-02-01,Good
Strawberry,241.5 g,192.1 g,128.5,3.0,144.6,222.4 °C,49.8,6.8,,4.3,Gas,Buttercream,Imported,317.3,53.9 %,10.0,1,4.5,2024-02-06,Excellent
Pineapple,341.1 g,206.8 g,123.2,4.0,201.3,226.1 °C,53.7,9.5,14.7,3.3,Gas,Fondant,Local,321.4,44.1 %,8.2,12,3.8,2023-05-06,Good
Pineapple,238.5 g,205.6 g,136.7,4.0,154.6,224.2 °C,32.8,10.3,11.6,1.0,Electric,Ganache,Local,768.1,48.4 %,9.0,9,4.5,2025-09-06,Excellent
Pineapple,313.9 g,168.9 g,227.9,3.0,151.0,195.6 °C,42.9,7.8,14.3,7.3,Electric,Ganache,Mixed,459.7,53.8 %,6.6,10,3.8,2024-09-18,Average
Red Velvet,236.4 g,206.9 g,155.3,4.0,169.3,201.2 °C,45.8,18.8,10.6,19.3,Convection,Ganache,Local,372.7,45.6 %,5.4,4,3.5,2025-08-29,Average
Vanilla,300.4 g,199.2 g,147.7,2.0,161.0,193.1 °C,35.8,12.9,19.0,14.3,Electric,Buttercream,Local,245.3,48.8 %,8.3,2,5.0,2025-10-29,Good
Pineapple,363.0 g,209.5 g,129.4,2.0,185.9,211.2 °C,37.0,9.9,11.9,9.9,Electric,Ganache,Mixed,416.8,48.1 %,7.0,4,3.2,2025-02-11,Good
